treatment_name,duration_raw,price_eur,raw_line,outlet_name,city_area,source_type,source_url,rating,review_count,duration_min
"Your therapist tailors every session to what your skin actually needs, not a one-size-fits-all menu. Pair it with time in the jacuzzi for the full wellness experience.",,55.0,from €55,Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
Choose from a selection of guided meditation sessions to suit your needs and let the power of technology and mindfulness elevate your spa experience to new heights.,20 min,30.0,Duration 20 min €30,"DISCOVER THE ART OF WELLNESS, ROOTED IN MALTA",Valletta,official,https://myoka.com/,,,20.0
