freq_code,freq_label,c_resid_code,c_resid_label,unit_code,unit_label,nace_r2_code,nace_r2_label,geo_code,geo_label,time_code,time_label,value
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2019-10,2019-10,31307.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2019-11,2019-11,50413.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2019-12,2019-12,54064.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-01,2020-01,38147.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-02,2020-02,59744.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-03,2020-03,15953.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-04,2020-04,213.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-05,2020-05,1778.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-06,2020-06,28236.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-07,2020-07,74587.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-08,2020-08,96376.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-09,2020-09,89547.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-10,2020-10,47448.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-11,2020-11,35763.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2020-12,2020-12,59709.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-01,2021-01,40601.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-02,2021-02,57539.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-03,2021-03,24903.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-04,2021-04,19337.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-05,2021-05,32303.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-06,2021-06,70414.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-07,2021-07,89318.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-08,2021-08,88329.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-09,2021-09,78157.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-10,2021-10,55182.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-11,2021-11,52992.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2021-12,2021-12,63282.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-01,2022-01,36410.0
