freq,unit,schedule,tra_cov,tra_meas,rep_airp\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBD	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBF	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBH	0 	0 	313 	924 	742 	482 	0 	192 	8 	204 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBJ	569704 	513401 	262214 	257647 	253746 	217998 	221783 	369557 	440680 	522564 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBO	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBQ	0 	274 	735 	210 	894 	1092 	0 	340 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBR	211 	0 	1710 	1599 	5985 	6892 	186 	4660 	4391 	4687 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBS	619538 	476244 	56291 	9837 	8536 	7692 	27944 	218938 	440247 	547668 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBU	0 	0 	0 	0 	0 	0 	0 	316 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBY	10149 	7656 	5927 	7260 	8335 	8254 	5139 	10440 	9646 	8183 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTBZ	2009 	1956 	2351 	3287 	3993 	5952 	8 	3539 	2989 	2792 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCA	8151 	5890 	3985 	5845 	5115 	4223 	1827 	6121 	7505 	9784 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCB	1333 	0 	1529 	1643 	3200 	3969 	1039 	3324 	3226 	5338 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCC	18210 	16700 	14459 	14195 	16553 	15319 	7781 	16200 	14587 	19035 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCD	0 	0 	187 	0 	549 	940 	0 	244 	191 	190 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCE	151 	192 	692 	852 	900 	1141 	106 	522 	1026 	1316 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCF	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCG	57945 	30882 	18147 	18049 	19564 	14772 	8253 	27914 	49696 	111774 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCI	145 	0 	930 	723 	1335 	1064 	0 	838 	826 	369 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCJ	0 	0 	0 	0 	1136 	745 	0 	386 	545 	558 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCK	0 	0 	0 	185 	868 	172 	0 	0 	289 	288 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCM	0 	0 	212 	0 	0 	351 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCN	0 	0 	0 	432 	552 	0 	0 	302 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCO	0 	0 	0 	126 	126 	0 	0 	0 	164 	163 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCP	0 	0 	358 	0 	440 	869 	0 	183 	297 	294 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCR	0 	0 	694 	509 	1769 	1225 	0 	0 	385 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCS	266 	151 	1076 	2851 	6219 	6598 	0 	1964 	1362 	1286 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCU	0 	0 	159 	338 	332 	149 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTCW	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTDA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTDB	99191 	96015 	85586 	88592 	97467 	83670 	74261 	101070 	106122 	118086 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTFC	3574 	1047 	1333 	635 	977 	968 	1776 	1699 	1766 	882 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTFD	2905 	1753 	1699 	1295 	2447 	4058 	244 	3013 	3670 	6417 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTFE	333996 	209695 	14744 	4103 	4463 	4286 	5593 	56492 	194397 	304699 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTFG	68226 	73692 	19182 	10622 	9391 	5838 	14015 	34155 	56466 	67706 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTFH	20479 	17966 	9366 	15800 	13903 	10370 	6610 	13264 	11950 	18167 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTFJ	1860694 	1872577 	1882170 	1997605 	2089106 	1936243 	1956377 	2139748 	2175401 	2158717 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTFM	5660011 	5428296 	4997699 	5086670 	5210243 	4614649 	4739769 	5537253 	5474071 	5424698 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,TR_LTFO	1148 	551 	0 	1119 	2177 	1274 	0 	0 	247 	2031 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,AT_LOWG	64743 	46831 	41187 	34252 	30100 	34481 	37160 	45197 	55495 	61869 	63207 	62756 	64362 	51866 	40765 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,AT_LOWI	17240 	4632 	7279 	38499 	78668 	91049 	88725 	5400 	12092 	18446 	16642 	17837 	17553 	4925 	2822 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,AT_LOWK	7855 	6708 	283 	341 	754 	738 	961 	7913 	12786 	12729 	12383 	14799 	11942 	9545 	0 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,AT_LOWL	16755 	5667 	7588 	4701 	4815 	6103 	6814 	13082 	23314 	25455 	25776 	29300 	27331 	14970 	3074 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,AT_LOWS	92695 	77186 	49866 	86675 	111669 	114067 	114837 	62795 	84910 	93514 	93941 	100782 	97929 	90050 	56504 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,AT_LOWW	2012946 	1925826 	1403634 	1464549 	1094651 	1140082 	1370357 	1757159 	1867261 	1954895 	2086077 	2128376 	2015882 	1946777 	1470489 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BE_EBAW	1247 	9995 	9841 	10182 	11923 	12256 	14136 	15187 	15384 	16132 	25002 	24841 	25620 	22043 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BE_EBBR	1383415 	1280466 	1035961 	998441 	825184 	885126 	1045627 	1180534 	1249901 	1283039 	1457562 	1418759 	1380644 	1327533 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BE_EBCI	766959 	782047 	602910 	649083 	546124 	568647 	669084 	804160 	867986 	804351 	875691 	906751 	822411 	837490 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BE_EBLG	12762 	7746 	6126 	5402 	6790 	5484 	5916 	6038 	4361 	0 	9812 	9804 	9517 	7759 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BE_EBOS	38503 	34396 	19422 	17358 	18443 	18032 	21144 	29533 	32819 	35023 	39240 	39244 	41550 	35843 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BG_LBBG	180552 	16448 	0 	1611 	0 	0 	993 	10577 	39229 	237570 	392554 	386989 	179306 	18417 	0 	0 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BG_LBPD	: 	: 	: 	: 	384 	33 	398 	47 	18 	511 	151 	445 	86 	620 	5067 	7332 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BG_LBSF	507696 	500603 	427022 	436040 	376630 	373044 	446850 	514461 	531409 	512677 	527113 	554678 	541309 	542259 	460122 	509507 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,BG_LBWN	129526 	63012 	28610 	28158 	25082 	22831 	29225 	54589 	83460 	160591 	220428 	244282 	153484 	76411 	56958 	65949 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,CY_LCLK	513664 	497759 	299072 	264134 	215810 	221550 	284200 	407865 	470179 	558856 	619289 	666780 	567116 	550594 	359905 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,CY_LCPH	175599 	174306 	107861 	110615 	101594 	91058 	107178 	145793 	161164 	168122 	198378 	210775 	190286 	196040 	129757 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,CZ_LKCS	7239 	752 	2 	20 	0 	0 	0 	0 	512 	6541 	8804 	8592 	6186 	558 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,CZ_LKKV	946 	1 	13 	18 	0 	13 	23 	22 	37 	437 	1598 	1252 	188 	10 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,CZ_LKMT	32290 	5932 	1199 	3006 	1477 	1055 	1630 	6732 	8282 	37281 	50400 	49497 	31728 	8047 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,CZ_LKPD	19299 	5598 	2913 	3351 	3769 	1808 	0 	0 	0 	23044 	31419 	33197 	23465 	10670 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,CZ_LKPR	1001159 	871070 	667584 	755049 	531895 	558180 	685107 	827438 	903930 	1047283 	1105463 	1117973 	1062972 	966519 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,CZ_LKTB	55102 	7084 	530 	262 	83 	1752 	948 	7436 	11189 	61586 	83160 	81292 	55811 	12547 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDB	1352993 	1358074 	940470 	978255 	776722 	885759 	1023158 	1151612 	1261648 	1244061 	1260292 	1309753 	1302250 	1361343 	953004 	955572 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDC	25718 	24357 	6645 	3690 	3560 	5478 	6881 	13137 	19660 	21550 	24362 	24322 	22205 	23288 	4472 	2604 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDE	8904 	6710 	546 	402 	585 	929 	601 	4457 	7355 	8526 	9700 	9963 	9098 	8003 	900 	896 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDF	2400409 	2298420 	1754468 	1563572 	1305886 	1393268 	1758394 	2128333 	2371083 	2478727 	2553982 	2605260 	2466445 	2451233 	1836696 	1688968 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDG	72062 	69045 	14808 	12248 	12407 	13896 	23941 	42860 	58914 	64817 	70674 	69116 	65159 	55622 	10987 	11052 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDH	766323 	808969 	435403 	434587 	356636 	374700 	470298 	585827 	691625 	706421 	740483 	794928 	742638 	759101 	451568 	444697 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDK	541340 	549022 	274136 	283388 	224495 	240404 	317944 	422648 	508651 	536867 	550540 	577965 	552587 	559505 	283590 	286423 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDL	1139422 	1099421 	596417 	555810 	476664 	498113 	675073 	909444 	1083640 	1133337 	1178742 	1195302 	1184566 	1180909 	637422 	587160 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDM	2045090 	1975326 	1471424 	1337742 	1120720 	1089941 	1456063 	1805500 	2029317 	2105796 	2161693 	2240800 	2178487 	2045087 	1471254 	1365557 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDN	252334 	235968 	118645 	123753 	106527 	109367 	147641 	190593 	226046 	264806 	260203 	277995 	267259 	266194 	140449 	143392 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDP	121026 	104916 	38241 	32233 	33410 	37527 	50603 	67585 	98459 	111781 	120412 	124364 	112722 	116447 	34517 	28789 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDR	29417 	25500 	1672 	25 	208 	745 	2321 	6934 	13793 	26542 	28732 	30344 	28616 	26149 	777 	31 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDS	524520 	486052 	254386 	249139 	195602 	204857 	273571 	388664 	487900 	534876 	517293 	584136 	557629 	529040 	264951 	252772 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDV	264650 	263846 	119685 	97766 	87978 	88652 	125004 	199408 	232711 	235293 	236586 	241881 	254820 	265676 	128091 	100172 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDDW	64992 	65854 	39487 	37769 	35200 	37191 	50348 	55061 	69623 	71449 	74515 	75161 	68324 	66341 	40973 	36466 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDFH	132948 	118586 	90300 	100678 	85846 	87762 	113245 	134125 	142564 	141070 	145254 	164632 	149582 	156030 	83220 	101149 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDJA	215966 	212049 	143778 	165474 	144557 	124256 	180207 	196939 	208437 	221360 	226716 	261118 	240154 	230179 	142819 	167037 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDLP	51175 	53286 	6514 	4172 	4495 	5581 	12966 	27265 	37448 	47140 	51938 	51053 	48772 	47228 	5290 	4086 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDLV	172129 	160042 	68943 	70903 	64674 	77667 	97273 	151055 	178758 	185253 	185401 	194814 	182151 	179092 	88456 	90362 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDLW	194103 	207647 	138055 	148257 	134749 	132112 	147570 	139300 	159305 	178230 	183608 	200219 	183049 	188524 	129097 	143681 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDNY	15467 	11189 	737 	276 	3010 	1779 	1938 	774 	9051 	12518 	9338 	12396 	11670 	10478 	744 	1253 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DE_EDSB	139904 	138358 	79913 	91559 	71571 	73017 	106889 	139390 	157109 	174715 	181236 	196360 	180294 	171127 	83547 	103733 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKAH	34078 	30268 	7798 	7715 	7765 	9551 	10757 	18367 	25196 	29237 	33881 	30857 	26542 	23034 	8703 	9000 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKBI	305021 	295750 	168296 	159120 	157973 	158466 	184487 	156314 	189250 	209269 	251137 	222448 	216641 	197823 	141730 	117374 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKCH	1688855 	1642835 	1210523 	1157486 	1036528 	1083168 	1249436 	1585843 	1761347 	1869073 	1966438 	1865621 	1866715 	1822492 	1350816 	1337499 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKEB	6 	96 	19 	0 	20 	56 	0 	2 	0 	5 	15 	2 	20 	29 	4 	1 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKKA	273 	12 	136 	458 	60 	180 	0 	0 	237 	0 	0 	0 	5 	21 	293 	346 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKRK	383 	229 	183 	529 	121 	261 	167 	148 	534 	440 	184 	852 	406 	276 	97 	76 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKRN	636 	1065 	0 	0 	0 	17 	210 	400 	1212 	0 	0 	0 	427 	1068 	210 	0 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKSB	489 	214 	13 	19 	24 	4 	33 	134 	544 	491 	318 	397 	524 	55 	569 	83 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKTS	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,DK_EKYT	60458 	58298 	31264 	30796 	33407 	35159 	38931 	39367 	48802 	55713 	65613 	59040 	59800 	51796 	31691 	30033 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EE_EETN	251877 	242935 	188004 	198494 	164948 	163218 	194896 	203877 	228577 	243613 	241056 	254608 	227822 	237029 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGAL	0 	1 	0 	150 	137 	0 	423 	54 	179 	174 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGAV	1310416 	1236084 	873134 	878132 	737290 	712879 	949191 	1144545 	1243740 	1361046 	1449165 	1509123 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGBL	3718 	574 	0 	0 	0 	0 	0 	0 	3696 	5931 	6540 	7588 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGHI	161 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGIK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGIO	4466 	1237 	0 	0 	0 	0 	0 	0 	3628 	8302 	7590 	8899 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGIR	950471 	679299 	59042 	7224 	2850 	3617 	16223 	307674 	654306 	907741 	1110230 	1160324 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKC	177 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKF	38944 	5255 	0 	0 	0 	0 	0 	1221 	11069 	50613 	75275 	78399 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKJ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKL	29562 	17614 	3560 	202 	65 	8 	2482 	8783 	16155 	27122 	30394 	31453 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKO	310661 	197705 	5962 	0 	0 	0 	0 	39197 	218240 	320297 	382355 	402549 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKP	35214 	6397 	0 	0 	0 	0 	0 	788 	11126 	31669 	41261 	45056 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKR	389091 	188147 	2911 	0 	0 	324 	2044 	77722 	209444 	412519 	542593 	569144 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKV	38597 	13485 	233 	0 	0 	0 	0 	3891 	14629 	40510 	44137 	47961 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGKZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGLE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGLM	5514 	1748 	0 	0 	0 	0 	0 	0 	2680 	4960 	4897 	5481 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGMG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGMK	115471 	24224 	172 	0 	0 	0 	116 	9508 	34936 	116006 	203150 	214781 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGML	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGMT	25318 	4521 	0 	0 	0 	0 	0 	272 	9928 	24799 	29390 	29380 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGNX	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGPA	1042 	94 	0 	0 	0 	0 	0 	0 	266 	700 	607 	581 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGPL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGPZ	93870 	28428 	484 	0 	0 	0 	0 	5144 	50228 	102030 	131158 	128345 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGRP	645196 	446521 	27506 	1345 	0 	4982 	10677 	153101 	439329 	638629 	743302 	776865 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGRX	27597 	11840 	0 	0 	0 	0 	0 	626 	15520 	30234 	39549 	39339 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGSA	370724 	227793 	9134 	4079 	2942 	2267 	5026 	87721 	238678 	379556 	453695 	442903 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGSK	46549 	6802 	0 	0 	0 	0 	0 	0 	6129 	51811 	83229 	84604 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGSM	50100 	14152 	244 	0 	0 	0 	0 	3575 	28741 	45874 	51768 	54765 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGSO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGSR	160162 	74114 	1430 	0 	0 	0 	169 	18309 	56305 	130634 	222439 	234502 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGST	2531 	1581 	0 	0 	0 	0 	0 	0 	1040 	2709 	2474 	2765 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGSY	1139 	0 	0 	0 	0 	0 	0 	0 	0 	1075 	834 	1095 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGTS	410296 	372768 	237276 	281609 	221575 	207675 	261714 	341588 	387006 	415402 	466580 	503097 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EL_LGZA	242308 	70546 	510 	0 	0 	0 	0 	18611 	118690 	243687 	337651 	342417 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_GCFV	220032 	245841 	280489 	270617 	264353 	265644 	308789 	259179 	202349 	218661 	252903 	257869 	236672 	259656 	277654 	260268 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_GCHI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_GCLA	9729 	12928 	25921 	24088 	27848 	25762 	29374 	18535 	4917 	5416 	9184 	9243 	8659 	14399 	29829 	28624 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_GCLP	283072 	399472 	558042 	555348 	546167 	534982 	597799 	452473 	272521 	284481 	328812 	338091 	299050 	399527 	550101 	559035 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_GCRR	159769 	192206 	226923 	211793 	218983 	224403 	253762 	203819 	162072 	163845 	190751 	195830 	164753 	196099 	231543 	217087 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_GCTS	416502 	510901 	652455 	657766 	658750 	640925 	704591 	526238 	401985 	402017 	456250 	468280 	424067 	520722 	681024 	671063 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_GCXO	981 	1175 	2208 	2490 	2298 	2171 	2423 	1191 	1144 	808 	2394 	2295 	2166 	2260 	5132 	5345 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_GEML	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_LEAL	793815 	822330 	565963 	567624 	505580 	542430 	663063 	776617 	838518 	855053 	941838 	938640 	858223 	886537 	660309 	658158 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_LEAM	22995 	11834 	865 	48 	37 	751 	53 	10179 	14888 	22282 	28439 	27493 	21189 	7416 	315 	51 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES_LEAS	32574 	30128 	20333 	24152 	20141 	18208 	22364 	34550 	34263 	35163 	39223 	39336 	35934 	34486 	22065 	23621 
