freq,unit,schedule,tra_cov,tra_meas,rep_airp\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDB	2178838 	2278138 	1644660 	1733368 	1384996 	1516271 	1719348 	1972225 	2039835 	2016326 	2101137 	2225422 	2195421 	2355979 	1720514 	1766426 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDC	53703 	60199 	25565 	13623 	8223 	13817 	22422 	40933 	43960 	46045 	54886 	53975 	52741 	74049 	25717 	13258 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDE	23337 	33668 	9018 	3269 	1810 	2813 	4512 	29507 	29382 	35244 	42343 	47989 	44727 	57865 	14824 	2359 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDF	5326239 	5191460 	4183127 	4113095 	3587303 	3478886 	4180529 	4868231 	5083938 	5292706 	5649674 	5866799 	5437954 	5482080 	4306432 	4305299 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDG	130259 	143321 	36743 	21483 	18792 	21441 	39571 	101049 	121952 	120233 	140221 	140893 	130909 	135635 	33551 	22987 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDH	1205532 	1303826 	787398 	794164 	658383 	667448 	808060 	995326 	1086392 	1080899 	1178277 	1254674 	1176801 	1268290 	815023 	825398 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDK	966407 	1039443 	545480 	557198 	440044 	436569 	554519 	790485 	887015 	921289 	1025479 	1100068 	985428 	1064790 	562098 	585514 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDL	1893424 	1928077 	1188197 	1154105 	1006366 	991050 	1231928 	1667614 	1826429 	1858366 	2052505 	2143540 	1986515 	2079248 	1274216 	1238160 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDM	3477470 	3372817 	2646291 	2580425 	2179034 	2017953 	2635955 	3118039 	3378123 	3558317 	3723988 	3921028 	3742190 	3557020 	2731368 	2711381 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDN	421538 	410393 	224842 	218998 	183286 	184761 	243105 	339228 	361814 	448512 	437257 	503806 	473045 	482091 	282707 	265497 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDP	221569 	252330 	109471 	78621 	73716 	78055 	104796 	145567 	169964 	186271 	210439 	220690 	208152 	270986 	89715 	62684 
