freq,unit,schedule,tra_cov,tra_meas,geo\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,TOTAL,PAS_CRD,HU	1688280 	1636101 	1406664 	1496939 	1297598 	1251959 	1474702 	1673674 	1711376 	1709178 	1866995 	1925518 	1813644 	1824709 	1558590 	1647385 
M,PAS,TOT,TOTAL,PAS_CRD,IE	3813558 	3536997 	2771101 	2821651 	2555087 	2534434 	3085464 	3694673 	4053339 	4253415 	4511368 	4555362 	3991542 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,IS	821778 	748070 	558094 	581244 	494865 	505714 	597530 	683647 	732499 	897184 	1026524 	1025569 	780811 	688088 	530135 	536776 
M,PAS,TOT,TOTAL,PAS_CRD,IT	18375336 	16914182 	12003991 	12314789 	11221427 	11182193 	13556460 	16719079 	17867959 	18689134 	20035619 	20701459 	18974977 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,LT	631058 	645177 	486446 	474266 	432547 	429194 	506127 	602128 	672332 	665774 	686149 	704983 	665437 	703005 	525776 	534843 
M,PAS,TOT,TOTAL,PAS_CRD,LU	492404 	474970 	358558 	376612 	300209 	332123 	379404 	464453 	488801 	484694 	511869 	532430 	494276 	505403 	402763 	404100 
M,PAS,TOT,TOTAL,PAS_CRD,LV	663658 	666080 	550276 	583993 	457217 	432605 	545771 	580886 	636713 	654180 	701901 	688941 	628387 	673439 	540582 	557499 
M,PAS,TOT,TOTAL,PAS_CRD,ME	364027 	242751 	117319 	111110 	101747 	91934 	114810 	223370 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,MK	305154 	283096 	220865 	234808 	222850 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,MT	897450 	839268 	631578 	592329 	508129 	561141 	725982 	897538 	928609 	924368 	1036422 	1073178 	990959 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,NL	6967653 	6929186 	5658185 	5732857 	5362198 	5272474 	6000649 	6672697 	7064840 	6981675 	7516211 	7642186 	7048265 	7128077 	5833498 	5894257 
M,PAS,TOT,TOTAL,PAS_CRD,NO	3561872 	3486995 	2865954 	2743396 	2574041 	2659610 	3078704 	3165159 	3332677 	3817238 	4074105 	3808657 	3643378 	3547788 	2894209 	: 
M,PAS,TOT,TOTAL,PAS_CRD,PL	5887998 	5142843 	3891805 	3955279 	3736241 	3830699 	4266585 	4869280 	5714583 	6321728 	6932995 	7134796 	6523735 	5726231 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,PT	6314465 	5981050 	4317578 	4258384 	3849327 	3934879 	4907837 	5917897 	6317888 	6472081 	6872257 	7055138 	6548730 	6267882 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,RO	2372238 	2224920 	1809643 	1815250 	1730546 	1638835 	1870040 	2092258 	2156885 	2372974 	2616949 	2831399 	2580039 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,RS	891355 	782916 	615358 	618060 	583815 	514354 	579139 	713426 	783988 	905876 	1019978 	1049636 	941969 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,SE	2778811 	2660149 	2101087 	2110373 	1880507 	1880992 	2194402 	2438181 	2767478 	3013005 	3152461 	3044868 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,SI	155938 	127361 	89868 	85742 	72603 	81191 	94532 	125567 	151791 	163501 	181599 	186328 	176206 	150564 	105623 	101803 
M,PAS,TOT,TOTAL,PAS_CRD,SK	307504 	177124 	137256 	154276 	123975 	122587 	143424 	194994 	227991 	380326 	490011 	481573 	352844 	245395 	204258 	269192 
M,PAS,TOT,TOTAL,PAS_CRD,TR	18264567 	17050196 	12600121 	12002947 	12453428 	11017365 	11353638 	15038031 	16944027 	18754708 	: 	: 	: 	: 	: 	: 
