freq,unit,schedule,tra_cov,tra_meas,geo\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,ES	12124202 	11723453 	8354287 	8290514 	7608853 	7910366 	9600584 	11295839 	12012899 	12419030 	13388769 	13711733 	12515103 	12263866 	8980424 	8833865 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,EU27_2020	39269930 	35946093 	24608001 	24799681 	21198221 	22386660 	27115165 	33384912 	36661109 	39316148 	42361640 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,FI	975799 	1010210 	799857 	906037 	797120 	796696 	862594 	885654 	1018711 	1075920 	1057953 	1012927 	983302 	1026567 	816482 	964346 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,FR	6531423 	6229334 	4206471 	4506993 	3899552 	4101554 	4903274 	6159336 	6674945 	6733696 	6980350 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,HR	1173557 	750096 	248048 	236544 	199353 	188263 	261323 	686747 	990202 	1287003 	1583186 	1611152 	1263026 	841934 	279604 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,HU	1086838 	1043262 	882859 	927545 	784856 	755290 	895187 	1066423 	1111439 	1161264 	1234010 	1252732 	1177627 	1179811 	986153 	1033576 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,IE	2021355 	1822872 	1256469 	1257410 	1210237 	1201158 	1479222 	1910326 	2129156 	2252337 	2370964 	2326529 	2094025 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,IT	9368858 	8769642 	5917755 	6037907 	5405621 	5578484 	6830188 	8702211 	9359930 	9671765 	10412578 	10846020 	9790295 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,LT	428930 	411591 	315734 	316078 	289222 	282697 	339504 	380722 	422556 	439271 	453991 	469941 	436424 	424472 	332924 	361228 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,LU	398021 	371967 	271925 	289580 	225199 	255230 	296850 	356195 	391975 	390166 	401529 	420844 	396160 	389737 	302647 	305364 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,LV	485044 	479925 	394837 	426302 	325096 	302749 	385751 	418705 	461555 	482679 	523047 	511258 	454747 	472260 	383516 	397099 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,MT	636343 	592271 	454898 	441707 	388603 	413064 	532743 	633296 	646555 	640680 	729716 	760354 	676811 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,NL	3829556 	3730890 	2836645 	2770693 	2588518 	2652587 	3104427 	3567791 	3943036 	3890580 	4123035 	4153198 	3914681 	3817028 	2906104 	2829885 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,PL	3397699 	2939306 	2203047 	2196953 	2054209 	2130897 	2438609 	2958309 	3415473 	3763411 	4068564 	4178719 	3838528 	3341362 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,PT	3322591 	3237072 	2365022 	2308731 	2066827 	2198534 	2720140 	3184180 	3413043 	3414084 	3591175 	3684902 	3450890 	3405214 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,RO	1589103 	1523861 	1228860 	1250117 	1154096 	1071053 	1234907 	1426457 	1482359 	1624089 	1807034 	1963449 	1783665 	: 	: 	: 
