year,month,month_id,accommodation_nights_spent,source_dataset,source_geo,source_scope
2021,10,2021-10,712734.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2021,11,2021-11,493453.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2021,12,2021-12,335595.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,1,2022-01,242195.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,2,2022-02,345389.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,3,2022-03,448634.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,4,2022-04,694893.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,5,2022-05,746507.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,6,2022-06,830430.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,7,2022-07,991837.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,8,2022-08,1096000.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,9,2022-09,846574.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,10,2022-10,845231.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,11,2022-11,622816.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2022,12,2022-12,499918.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,1,2023-01,446954.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,2,2023-02,535911.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,3,2023-03,676516.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,4,2023-04,852786.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,5,2023-05,887067.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,6,2023-06,944312.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,7,2023-07,1096007.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,8,2023-08,1200154.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,9,2023-09,962553.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,10,2023-10,982766.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,11,2023-11,720205.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2023,12,2023-12,586992.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,1,2024-01,529557.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,2,2024-02,647382.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,3,2024-03,809466.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,4,2024-04,934202.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,5,2024-05,1034372.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,6,2024-06,1046824.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,7,2024-07,1257738.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,8,2024-08,1320338.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,9,2024-09,1074009.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,10,2024-10,1108735.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,11,2024-11,869836.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2024,12,2024-12,688004.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,1,2025-01,603443.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,2,2025-02,777390.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,3,2025-03,943394.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,4,2025-04,1075140.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,5,2025-05,1100903.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,6,2025-06,1137220.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,7,2025-07,1319543.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,8,2025-08,1404114.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,9,2025-09,1145145.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,10,2025-10,1255898.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,11,2025-11,924061.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
2025,12,2025-12,777165.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)"
