year,month,month_id,hicp_restaurants_hotels_index,hicp_restaurants_hotels_yoy,source_dataset_index,source_dataset_yoy,source_scope
2021,10,2021-10,,2.65,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2021,11,2021-11,,3.8000000000000003,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2021,12,2021-12,,4.3,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,1,2022-01,,5.4,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,2,2022-02,,5.45,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,3,2022-03,,5.55,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,4,2022-04,,6.6,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,5,2022-05,,6.35,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,6,2022-06,,7.300000000000001,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,7,2022-07,,7.8,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,8,2022-08,,8.05,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,9,2022-09,,8.4,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,10,2022-10,,8.45,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,11,2022-11,,8.3,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2022,12,2022-12,,7.8500000000000005,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,1,2023-01,,7.35,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,2,2023-02,,7.2,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,3,2023-03,,7.6,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,4,2023-04,,7.2,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,5,2023-05,,6.45,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,6,2023-06,,5.9,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,7,2023-07,,6.35,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,8,2023-08,,6.15,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,9,2023-09,,5.9,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,10,2023-10,,5.2,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,11,2023-11,,5.6,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2023,12,2023-12,,4.949999999999999,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,1,2024-01,,4.9,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,2,2024-02,,4.8,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,3,2024-03,,5.0,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,4,2024-04,,4.050000000000001,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,5,2024-05,,4.2,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,6,2024-06,,3.45,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,7,2024-07,,3.4,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,8,2024-08,,2.9000000000000004,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,9,2024-09,,2.75,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,10,2024-10,,3.05,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
