year,month,month_id,tourism_demand_air_passengers_international,source_value_raw,source_dataset,source_geo,source_scope
2021,12,2021-12,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,1,2022-01,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,2,2022-02,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,3,2022-03,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,4,2022-04,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,5,2022-05,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,6,2022-06,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,7,2022-07,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,8,2022-08,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,9,2022-09,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,10,2022-10,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,11,2022-11,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2022,12,2022-12,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,1,2023-01,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,2,2023-02,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,3,2023-03,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,4,2023-04,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,5,2023-05,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,6,2023-06,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,7,2023-07,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,8,2023-08,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
