year,month,month_id,month_label,quarter,airport_passengers_international,tourism_demand_air_passengers_international,accommodation_nights_spent,unemployment_rate_percent,hicp_restaurants_hotels_index,hicp_restaurants_hotels_yoy,source_value_raw_airport,source_dataset_airport,source_airport_code_airport,source_scope_airport,source_value_raw_tourism,source_dataset_tourism,source_geo_tourism,source_scope_tourism,source_dataset_accommodation,source_geo_accommodation,source_scope_accommodation,source_dataset_labour,source_geo_labour,source_scope_labour,source_dataset_index_cpi,source_dataset_yoy_cpi,source_scope_cpi
2018,10,2018-10,2018-10,4,,,949844.0,3.7000000000000006,,1.65,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2018,11,2018-11,2018-11,4,,,677885.0,3.866666666666666,,0.8,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2018,12,2018-12,2018-12,4,,,537377.0,3.9,,1.0,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,1,2019-01,2019-01,1,,,466668.0,4.1000000000000005,,1.8,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,2,2019-02,2019-02,1,,,533301.0,4.266666666666667,,1.75,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,3,2019-03,2019-03,1,,,697174.0,4.166666666666667,,1.95,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,4,2019-04,2019-04,2,,,898065.0,4.033333333333333,,5.5,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,5,2019-05,2019-05,2,,,905347.0,3.9333333333333336,,4.45,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,6,2019-06,2019-06,2,,,966353.0,3.933333333333333,,3.85,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,7,2019-07,2019-07,3,,,1119451.0,4.1000000000000005,,3.85,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,8,2019-08,2019-08,3,,,1152782.0,4.2,,3.5,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,9,2019-09,2019-09,3,,,960523.0,4.233333333333333,,3.35,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,10,2019-10,2019-10,4,,,951529.0,4.1,,3.25,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,11,2019-11,2019-11,4,,,691598.0,4.066666666666666,,3.0,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2019,12,2019-12,2019-12,4,,,568491.0,3.9333333333333336,,2.6,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,1,2020-01,2020-01,1,,,498068.0,3.9333333333333336,,2.15,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,2,2020-02,2020-02,1,,,588991.0,3.8,,1.9,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,3,2020-03,2020-03,1,,,244927.0,4.166666666666667,,1.95,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,4,2020-04,2020-04,2,,,11673.0,4.666666666666667,,1.4,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,5,2020-05,2020-05,2,,,13172.0,4.8,,1.45,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,6,2020-06,2020-06,2,,,39340.0,5.1,,1.8,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,7,2020-07,2020-07,3,,,294995.0,5.333333333333333,,1.65,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,8,2020-08,2020-08,3,,,503816.0,5.466666666666666,,1.5499999999999998,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,9,2020-09,2020-09,3,,,290155.0,5.4,,1.05,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,10,2020-10,2020-10,4,,,234469.0,5.3,,0.55,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,11,2020-11,2020-11,4,,,105890.0,5.066666666666666,,-0.15,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2020,12,2020-12,2020-12,4,,,119688.0,4.833333333333333,,0.0,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2021,1,2021-01,2021-01,1,,,98277.0,4.466666666666667,,-0.1,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2021,2,2021-02,2021-02,1,,,127162.0,4.266666666666667,,0.0499999999999999,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2021,3,2021-03,2021-03,1,,,79675.0,3.9666666666666655,,-0.15,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
